"lambda_1_social","lambda_1_kerorice","lambda_1_advice","lambda_1_decision","lambda_1_jati","lambda_1_union_link","lambda_1_intersect_link","lambda_1_backbone","lambda_1_union_wtd","lambda_1_raw_wtd","village"
9.21110626698865,8.13730807548831,8.36505667336911,8.48603568647472,74.9999999999997,75.0998967482314,5.95012049243992,27.7014951546419,95.4045136197718,25.8099496392286,1
9.92091437608256,8.48500522956228,8.31629689558751,8.73756133721125,80.9999999999999,81.1649774019554,6.125764244996,29.7278644759558,102.351080864438,24.2687027005571,2
9.7079709852389,7.85232044655801,8.34257863701105,8.12311044499776,48,48.3724578605247,4.81683305361838,19.7964803546133,66.2185403593587,27.7640193616362,3
8.62555450464802,7.07908194627724,7.02357740615332,7.11774458976491,84,84.0854191604482,5.53193281843405,30.2559580642927,104.987577174002,26.3146999847226,4
7.54273558842998,5.73147304319496,5.99045739009339,5.80800590748723,49.9999999999999,50.1168105829415,3.3249182089313,17.6261555877232,60.8261061862711,17.6115390248789,5
8.35341139481692,7.03825203173645,7.0821442579891,6.99963566798944,70.9999999999998,71.3797098151165,5.60587088491947,26.8454257192808,92.017051011186,20.99367236723,6
7.35005877236925,5.50298694509071,6.59687625229863,6.65630991300543,89.9999999999999,90.0414737924979,4.36154341117318,29.5503230987921,104.425768067434,16.9683237613713,7
8.36380095374212,6.22310081097147,6.08155476899803,6.47447457657268,42,42.368842869257,3.4337801739174,16.3308179377658,54.5859699420863,17.7985125213136,8
8.38861076625047,7.72214507385304,7.89549928967892,7.91246002979456,44,44.2115734320636,6.67421177872228,19.6888866044147,65.2999182351598,25.373853684553,9
9.20843889153499,7.42060168770184,6.8060889727203,9.86957628606425,108,108.065240296442,4.21692380909859,36.9440826585265,129.471517825115,20.4637743371492,10
8.30357071869876,7.87578569305887,6.86133525296103,7.28301063646694,69,69.1166313741474,5.02952594150517,24.9444175714982,86.0725699246377,18.7369197932161,11
10.507101475684,8.464867868782,10.3695315119621,11.316676662371,117,117.321144693954,6.96539809626799,39.8834085290037,139.636757355261,28.1199835710029,12
9.82389948834254,8.23640556573734,7.09561230920633,10.614441715605,57,57.5267374467809,4.13838770810832,22.4858626132289,75.9585716279783,22.9328122662138,13
8.77023603252601,7.42079141724078,6.81545811677335,7.39979038275697,39,39.662659023466,4.78397182327818,17.7337463951687,58.4324172708314,17.829946448791,14
6.51007386931285,6.12856410143298,6.21437704979561,6.18966904868846,89.9999999999999,90.0177188976262,4.72286075757648,28.3656465432283,101.230901956426,17.2386741511571,15
9.7481650601178,8.41860040862675,7.32871040628468,10.7543231296649,46,47.0046696780844,4.32901610970457,20.2089747935844,66.8403138111126,24.0009087336729,16
6.19620953442919,5.79738053371265,5.47994567136949,5.55639018200621,89.9999999999998,90.053749303213,5.15764113441907,29.0263804342752,102.972731708565,16.1903677768242,17
7.93618236088285,6.88110886444206,6.02927360445319,5.97115829559475,72,72.084512312279,4.29804746254129,25.2238393147399,87.7316085318172,16.7566433027814,18
6.90424030511759,5.88533017881765,6.05324731105283,6.26866575820416,77.9999999999998,78.0518188504952,4.76241264209493,26.3923474677089,92.7321529221205,20.6208116566235,19
8.89919871584197,7.92303677943122,6.08075825723207,6.77743106989267,31.9999999999999,32.8111080856614,2.28886691710151,15.4953057110085,49.8345369634838,21.0358785407148,20
7.81290170330443,6.95518914862173,8.04933403501985,8.6392483043756,83.0000000000001,83.1798156217676,4.66525071720643,28.3289577989392,99.173484943652,18.661957242381,21
7.04672475710405,6.17330142016381,7.69380728715779,7.77537225712708,38.9999999999999,39.5012295535233,4.22647157866721,16.2684803971166,54.0157072111983,18.3342939910981,22
9.36486081123556,7.76208594861016,6.58362712880156,9.34935444284345,59.9999999999999,60.2378704804132,3.24415976684484,22.4304368862959,76.6874381897014,20.7144567837659,23
7.1315102346655,6.45205805556355,9.37009049378919,9.61480538627163,81.9999999999998,82.2405332298326,4.74441222780438,26.4070032311092,93.2905693361093,17.4077534402626,24
9.28916579913286,7.78416552936777,5.86637671843568,7.40385761954146,110,110.075155004436,4.03106107603278,34.6232868299224,123.491931490348,21.0288196259845,25
8.93075816649776,7.24697899573553,8.086459149701,8.08525957363472,44.9999999999999,46.231788893563,4.71457216275463,19.5176327363097,64.7887196157174,24.7153321587083,26
7.46606309072824,6.82065196399733,5.43822766346598,7.26258753978439,44,44.5725329187807,3.16797804682519,17.2665538495922,58.2237430266438,17.2681992944302,28
10.922547806935,10.9133154563652,8.84371078204148,8.94256248914218,108,108.087303221387,4.63806478221638,39.6538002519388,136.917012913747,24.0764949580506,29
7.49903881175196,6.53965590655438,5.88060652037354,5.88938338923932,160,160.020830630865,4.97939702784583,49.3654822181993,176.96554420982,18.9553317075721,30
8.85837429100057,7.47131194238761,6.60885700352837,7.28148201771153,84,84.2480525562491,3.95874218271696,28.7248761123006,100.355716019908,18.5115070061263,31
9.36049609909069,8.51484235212927,7.80989516155786,8.9186806077142,76.9999999999999,77.1857785111106,4.87916600124624,27.9968436517823,96.795555165394,21.4601843048246,32
7.30502723291764,6.97923415335557,5.91948998921175,6.22512679995801,61,61.148306716569,3.56074494601771,20.5003555784228,71.7042481000445,16.8518729278673,33
7.07425181708471,6.54404335996114,5.89392059748759,5.98227703076543,108,108.078578514592,4.0928224947277,32.5167509234658,116.942140535319,16.0823391522442,34
9.96172074347938,9.44634243578252,8.45199674467872,8.43703797380975,155,155.085456321411,6.04830996485982,50.3843901933123,178.588016937764,26.1792159616942,35
11.2321304675657,9.84351334213965,8.35305180079978,8.98463401834754,97.0000000000001,97.2373456450724,4.43488924245673,35.7744852729534,123.296951490016,23.6480341813584,36
8.85374023330813,8.00076553107282,7.07776871220599,7.08608184718492,58,58.3052217416294,3.65227890338029,23.0859063585557,78.230383202385,18.9214962753812,37
