"village","sum_social","sum_kerorice","sum_advice","sum_decision","sum_jati","sum_union_link","sum_intersect_link","sum_backbone","sum_union_wtd","sum_raw_wtd","link_no_jati","intersect_link_no_jati","backbone_no_jati"
1,17.1990810283155,20.7736256078398,18.9688197334048,18.3088066813952,5.05333333333334,10.4369148014274,16.1282668846819,19.1293462885075,12.2267334840158,27.1417019320093,16.3455327963629,20.3012197624547,19.9080989238847
2,15.5918686907788,20.5412914453688,17.0363190413173,14.2198319681404,6.00000000000001,12.2643458845848,23.0621186331896,25.9153493050993,12.6208240199831,9.99656880595392,16.0389089818565,20.889073093614,17.8959081497973
3,22.607401459992,24.4706281914684,23.7161614166059,22.9431460902998,7.99999999999999,17.0695568276272,11.409788665098,31.4162017548412,19.5563210770019,27.2162173223562,24.9206420231935,18.2950775417974,24.9000304454704
4,22.1248187919992,23.1049347688641,23.0787806251178,23.9369439291159,4.92857142857143,11.5943780933655,14.0171904123944,18.7866615313301,13.0054223259906,18.2549589463733,21.7985709802353,19.7017125895667,29.8324092961411
5,23.9298411578463,22.6634963568129,21.4957162091849,19.8734516211802,7.38,18.9354838641878,12.5453764034875,26.3143164335393,20.6534061025896,16.7475174397823,25.0374638174111,19.9139600156863,23.6782995492267
6,27.0206336654905,21.1907348304412,23.2579048667828,22.7422222065407,3.97183098591549,8.09359217208573,15.3087471706567,19.846908393572,9.37019872750712,17.7536306570224,25.4810075280368,28.0485990900311,27.6607043625317
7,20.9528610036254,15.8697721561125,12.0912941284198,12.6210623779107,5.28888888888889,11.7215282446329,11.0418035471644,19.8923524099301,11.680107304371,24.8550391813859,20.7896668897933,11.9130385805945,15.6805006080255
8,26.9645657344772,24.3105673220067,30.1094840729565,22.8108772640827,8.73809523809523,20.6592880278226,12.5215417582987,42.3368952596583,25.8075435308917,17.1206925761425,25.2725480483144,24.8104035119218,28.2344725744897
9,27.5088951264194,21.6001910828687,23.6929915392633,22.4742994491974,7.34090909090909,19.3414605550781,14.2850490500371,28.9069420821787,21.6935991643862,29.5565003817754,27.520820042414,22.8860788100094,23.830523319912
10,11.7209996724562,10.8780935932674,8.96806995592843,12.7815373456271,3.08333333333334,5.29337050899818,5.54513413124685,10.7703705823937,5.63305747800167,15.406391039236,12.807938505052,5.7707301489471,15.0922201030156
11,7.61190086159548,7.2782922759728,9.89203645774637,9.52557347480128,4.02898550724638,9.39983899980668,6.2311315156534,12.4894686678223,10.0798740633017,8.86478881637269,7.56575366406629,11.5588879857599,8.52371448987947
12,8.44309052292673,9.57516579082533,7.251002966677,5.40322728101786,3.99999999999999,10.1502143205214,7.90063756332015,19.8178865329566,9.8993909826517,8.67074196994907,4.89274853504165,10.5136860761991,10.7968892674311
13,33.9951492590068,40.5391175995552,45.6840347093049,18.5326903681783,8,26.8436803165783,19.33608237507,41.8335997402475,29.8218547678944,29.9188852780817,27.7514099717693,42.0033831026341,36.6410664992967
14,25.0407503080931,27.4092962433548,19.9426411018889,16.0145961448531,5.69230769230769,14.4874060033115,5.69578713000667,29.4382282516044,16.0126230419644,24.1180963266904,20.666786625152,11.6735585904612,27.6923886383217
15,15.9484881706327,16.3547079296063,19.4646794150229,15.2673522338803,6.46666666666666,12.8352600316173,9.46764172277194,32.2407605953354,13.2073099896233,16.9936293952798,15.9772832192626,15.265642722007,16.9752800545036
16,25.4685223351095,30.1053910926119,24.3143260729429,9.96556824283534,6.6304347826087,12.3519660053162,5.93705486256971,22.5946208127721,14.7650115651479,22.4629227978382,15.7598562943782,25.2124626210518,26.9457118911234
17,12.9917725457338,13.3234680310301,14.4458922471602,15.1052134429526,6.18888888888888,11.9125798987865,7.8039948681814,21.0258519782501,12.11901892394,12.5510640248336,13.0168157069985,13.0926380145753,14.1242839229083
