villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
49	101	OBC	3	407	3	Farm land-owner	2
49	102	OBC	3	401	3	Farm labourer	3
49	103	OBC	3	408	3	Farm labourer	3
49	104	General	4	408	3	Farm labourer	3
49	105	General	4	408	3	Farm labourer	3
49	106	General	4	101	3	Farm land-owner	2
49	107	General	4	402	4	Industrialist	11
49	108	OBC	3	402	5	Housewife	16
49	109	General	4	407	2	Industrialist	11
49	110	Religious Minority	5	502	3	Private services	9
49	111	General	4	101	3	Farm labourer	3
49	112	General	4	-333	3	Farm labourer	3
49	113	OBC	3	408	3	Dairy/cattle rearing	5
49	114	General	4	101	3	Private services	9
49	115	SC	1	103	3	Farm labourer	3
49	116	OBC	3	407	4	Farm labourer	3
49	117	OBC	3	402	3	Farm labourer	3
49	118	General	4	401	3	Farm labourer	3
49	119	General	4	401	3	Pensioner	17
49	120	SC	1	206	3	Private services	9
49	121	OBC	3	407	3	Farm land-owner	2
49	122	OBC	3	408	1	Farm land-owner	2
49	123	General	4	408	3	Farm land-owner	2
49	124	General	4	407	3	Farm land-owner	2
49	125	General	4	407	3	Industry/factory worker(brick making etc)	10
49	126	OBC	3	408	3	Farm labourer	3
49	127	General	4	102	3	Farm land-owner	2
49	128	General	4	401	4	Pensioner	17
49	129	OBC	3	-333	3	Farm labourer	3
49	130	General	4	-333	3	Small business (shop, etc.)	1
49	131	General	4	-333	2	Pensioner	17
49	132	Missing	-666	-666	-666	Missing	-666
49	133	General	4	401	3	Industrialist	11
49	134	General	4	401	3	Farm labourer	3
49	135	General	4	401	2	Industrialist	11
49	136	General	4	401	2	Farm labourer	3
49	137	General	4	-333	3	Industrialist	11
49	138	General	4	-333	3	Industrialist	11
49	139	General	4	-333	3	Private services	9
49	140	General	4	407	1	Farm land-owner	2
49	141	OBC	3	401	3	Farm land-owner	2
49	142	OBC	3	401	3	Farm labourer	3
49	143	OBC	3	407	3	Small business (shop, etc.)	1
49	144	General	4	407	3	Industrialist	11
49	145	OBC	3	407	3	Farm land-owner	2
49	146	OBC	3	407	3	Farm land-owner	2
49	147	General	4	408	2	Farm land-owner	2
49	148	OBC	3	408	3	Farm labourer	3
49	149	General	4	-333	3	Farm land-owner	2
49	150	General	4	408	3	Farm land-owner	2
49	151	OBC	3	408	5	Industrialist	11
49	152	General	4	408	3	Farm land-owner	2
49	153	General	4	408	3	Farm labourer	3
49	154	General	4	408	3	Farm labourer	3
49	155	OBC	3	406	3	Farm labourer	3
49	156	OBC	3	406	3	Pensioner	17
49	157	General	4	408	3	Industrialist	11
49	158	General	4	408	3	Farm land-owner	2
49	159	OBC	3	407	5	Government services (teacher, etc.)	8
49	160	General	4	408	5	Farm land-owner	2
49	161	OBC	3	401	1	Industry/factory worker(brick making etc)	10
49	162	OBC	3	401	3	Farm land-owner	2
49	163	General	4	401	3	Farm land-owner	2
49	164	General	4	401	3	Industry/factory worker(brick making etc)	10
49	165	OBC	3	401	4	Farm land-owner	2
49	166	ST	2	206	2	Farm labourer	3
49	167	OBC	3	407	2	Pensioner	17
49	168	General	4	-333	3	OTHERS, SPECIFY	-333
49	169	General	4	101	2	Farm labourer	3
49	170	OBC	3	408	2	Farm labourer	3
49	171	General	4	402	3	Housewife	16
49	172	OBC	3	402	4	Private services	9
49	173	SC	1	201	3	Farm labourer	3
49	174	SC	1	201	2	Pensioner	17
