villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
32	101	General	4	401	5	Private services	9
32	102	General	4	401	5	Farm land-owner	2
32	103	General	4	401	5	Farm land-owner	2
32	104	OBC	3	401	4	Farm land-owner	2
32	105	OBC	3	401	4	Farm land-owner	2
32	106	General	4	401	4	Farm land-owner	2
32	107	OBC	3	401	5	Farm land-owner	2
32	108	OBC	3	401	5	Private services	9
32	109	ST	2	309	3	OTHERS, SPECIFY	-333
32	110	General	4	401	4	Farm land-owner	2
32	111	General	4	401	3	Farm land-owner	2
32	112	ST	2	204	5	Farm labourer	3
32	113	SC	1	204	5	Private services	9
32	114	General	4	401	5	Government services (teacher, etc.)	8
32	115	SC	1	-333	5	Farm land-owner	2
32	116	ST	2	309	5	Farm labourer	3
32	117	ST	2	204	4	OTHERS, SPECIFY	-333
32	118	OBC	3	309	5	Government services (teacher, etc.)	8
32	119	General	4	401	1	Farm land-owner	2
32	120	SC	1	-333	4	OTHERS, SPECIFY	-333
32	121	SC	1	-333	4	Farm land-owner	2
32	122	SC	1	207	4	OTHERS, SPECIFY	-333
32	123	SC	1	201	5	OTHERS, SPECIFY	-333
32	124	SC	1	201	5	OTHERS, SPECIFY	-333
32	125	SC	1	207	3	OTHERS, SPECIFY	-333
32	126	SC	1	201	5	Government services (teacher, etc.)	8
32	127	ST	2	201	5	OTHERS, SPECIFY	-333
32	128	SC	1	201	4	Industry/factory worker(brick making etc)	10
32	129	SC	1	201	3	Private services	9
32	130	ST	2	201	4	Private services	9
32	131	ST	2	201	4	Private services	9
32	132	SC	1	201	3	Private services	9
32	133	SC	1	201	3	Farming(tenancy)	4
32	134	SC	1	201	1	OTHERS, SPECIFY	-333
32	135	SC	1	201	4	OTHERS, SPECIFY	-333
32	136	SC	1	207	3	OTHERS, SPECIFY	-333
32	137	SC	1	201	5	OTHERS, SPECIFY	-333
32	138	ST	2	201	5	OTHERS, SPECIFY	-333
32	139	SC	1	201	4	Domestic help/cook/casual	15
32	140	SC	1	201	5	OTHERS, SPECIFY	-333
32	141	SC	1	207	3	Private services	9
32	142	SC	1	207	3	Industrialist	11
32	143	SC	1	201	5	Industrialist	11
32	144	SC	1	201	1	Farming(tenancy)	4
32	145	SC	1	201	3	Farming(tenancy)	4
32	146	SC	1	201	4	OTHERS, SPECIFY	-333
32	147	SC	1	201	5	OTHERS, SPECIFY	-333
32	148	SC	1	201	5	Industry/factory worker(brick making etc)	10
32	149	SC	1	201	5	Domestic help/cook/casual	15
32	150	SC	1	201	5	Government services (teacher, etc.)	8
32	151	SC	1	207	4	OTHERS, SPECIFY	-333
32	152	SC	1	207	3	OTHERS, SPECIFY	-333
32	153	ST	2	201	3	OTHERS, SPECIFY	-333
32	154	SC	1	201	5	Small business (shop, etc.)	1
32	155	General	4	401	3	Farm land-owner	2
32	156	OTHERS, SPECIFY	-333	104	5	OTHERS, SPECIFY	-333
32	157	OBC	3	104	3	Farm land-owner	2
32	158	SC	1	309	4	OTHERS, SPECIFY	-333
32	159	ST	2	309	5	Industry/factory worker(brick making etc)	10
32	160	ST	2	309	5	Private services	9
32	161	ST	2	309	5	Street vendor/hawker	13
32	162	General	4	401	4	Farm land-owner	2
32	163	General	4	-333	4	Dairy/cattle rearing	5
32	164	OBC	3	104	5	OTHERS, SPECIFY	-333
32	165	ST	2	-333	5	Dairy/cattle rearing	5
32	166	General	4	401	5	Dairy/cattle rearing	5
32	167	OBC	3	401	5	Farm land-owner	2
32	168	ST	2	309	3	Private services	9
32	169	ST	2	205	5	OTHERS, SPECIFY	-333
32	170	ST	2	309	4	Farming(tenancy)	4
