villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
31	101	General	4	401	3	Domestic help/cook/casual	15
31	102	General	4	401	5	Farm land-owner	2
31	103	OBC	3	401	3	Farm land-owner	2
31	104	General	4	401	5	Farm land-owner	2
31	105	General	4	401	5	Farm land-owner	2
31	106	General	4	401	5	Farm land-owner	2
31	107	General	4	401	3	Farm land-owner	2
31	109	General	4	401	3	Farm labourer	3
31	110	General	4	401	3	Farm land-owner	2
31	111	OBC	3	401	1	Farm land-owner	2
31	112	OBC	3	401	3	Farm land-owner	2
31	113	General	4	401	4	Sericulture owner	6
31	114	General	4	401	1	Farm labourer	3
31	115	OBC	3	401	5	Farm land-owner	2
31	116	General	4	401	5	Farm land-owner	2
31	117	General	4	401	5	Farm land-owner	2
31	118	General	4	402	3	Government services (teacher, etc.)	8
31	119	General	4	404	1	Farm land-owner	2
31	120	OBC	3	404	5	Domestic help/cook/casual	15
31	121	OBC	3	404	5	Farm land-owner	2
31	122	General	4	404	2	Farm land-owner	2
31	123	Religious Minority	5	-333	5	Private services	9
31	124	General	4	404	3	Farm land-owner	2
31	125	OBC	3	404	3	Farm land-owner	2
31	126	OBC	3	404	3	Farm land-owner	2
31	127	General	4	404	2	Farm land-owner	2
31	128	General	4	401	5	Farm land-owner	2
31	129	General	4	401	3	Farm land-owner	2
31	130	General	4	401	3	Farm land-owner	2
31	131	General	4	401	3	Farm labourer	3
31	132	ST	2	-333	1	Domestic help/cook/casual	15
31	133	OBC	3	-333	1	Domestic help/cook/casual	15
31	134	General	4	404	5	Farm land-owner	2
31	135	General	4	404	5	Housewife	16
31	136	General	4	101	3	Farm land-owner	2
31	137	OBC	3	101	3	Small business (shop, etc.)	1
31	138	General	4	401	3	Farm land-owner	2
31	139	General	4	401	3	Farm land-owner	2
31	140	General	4	401	2	Farm land-owner	2
31	141	General	4	401	3	Farm land-owner	2
31	142	General	4	102	3	Government services (teacher, etc.)	8
31	143	General	4	401	3	Farm labourer	3
31	144	General	4	401	2	Farm land-owner	2
31	145	General	4	401	3	Farm labourer	3
31	146	SC	1	209	4	Farm labourer	3
31	147	SC	1	209	-333	Farm labourer	3
31	148	SC	1	201	4	Farm labourer	3
31	149	SC	1	201	3	Farm labourer	3
31	150	General	4	401	2	Farm labourer	3
31	151	General	4	401	3	Farm labourer	3
31	152	OBC	3	401	5	Farm land-owner	2
31	153	General	4	401	3	Farm land-owner	2
31	154	General	4	402	5	Small business (shop, etc.)	1
31	155	General	4	404	4	Farm labourer	3
31	156	General	4	401	3	Government services (teacher, etc.)	8
31	157	ST	2	309	1	Farm labourer	3
31	158	ST	2	309	3	Farm labourer	3
31	159	ST	2	309	2	OTHERS, SPECIFY	-333
31	160	ST	2	309	2	Farm labourer	3
31	161	SC	1	309	4	Farm labourer	3
31	163	General	4	401	5	Housewife	16
