villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
59	101	SC	1	207	2	Farm labourer	3
59	102	ST	2	202	3	Farm labourer	3
59	103	SC	1	201	4	Farm labourer	3
59	104	SC	1	201	5	Farm labourer	3
59	105	SC	1	207	3	Farm labourer	3
59	106	SC	1	207	1	Farm labourer	3
59	107	SC	1	207	3	Farm labourer	3
59	108	SC	1	207	3	Farm labourer	3
59	109	SC	1	202	3	Masonry/construction worker	12
59	110	SC	1	202	3	Farm labourer	3
59	111	SC	1	207	3	Farm labourer	3
59	112	OBC	3	405	3	Farm land-owner	2
59	113	OBC	3	405	4	Farm land-owner	2
59	114	OBC	3	405	5	Farm labourer	3
59	115	OBC	3	405	3	Farm land-owner	2
59	116	ST	2	405	2	Farm land-owner	2
59	117	ST	2	405	3	Farm land-owner	2
59	118	General	4	405	3	Private services	9
59	119	OBC	3	409	3	Farm land-owner	2
59	120	OBC	3	409	3	Farm land-owner	2
59	121	OBC	3	409	3	Farm labourer	3
59	122	ST	2	405	5	Farm labourer	3
59	123	OBC	3	405	5	Farm labourer	3
59	124	OBC	3	405	5	Farm labourer	3
59	127	OBC	3	405	3	Farm labourer	3
59	128	ST	2	206	5	Farm land-owner	2
59	129	General	4	405	4	Farm land-owner	2
59	130	General	4	405	3	Farm labourer	3
59	131	OBC	3	405	3	Dairy/cattle rearing	5
59	132	SC	1	206	3	Farm labourer	3
59	133	SC	1	206	4	Farm land-owner	2
59	134	ST	2	206	3	Farm land-owner	2
59	135	SC	1	206	3	Industrialist	11
59	136	SC	1	206	3	Farm labourer	3
59	137	SC	1	207	3	Farm labourer	3
59	138	SC	1	207	3	Farm labourer	3
59	139	ST	2	206	5	Farm labourer	3
59	140	ST	2	206	3	Farm labourer	3
59	141	SC	1	206	3	Private services	9
59	142	OBC	3	405	5	Government services (teacher, etc.)	8
59	143	OBC	3	206	4	Farm land-owner	2
59	144	SC	1	206	3	Farm land-owner	2
59	145	ST	2	206	5	Farm land-owner	2
