villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
51	101	General	4	401	3	Pensioner	17
51	102	General	4	402	3	Government services (teacher, etc.)	8
51	103	General	4	401	3	Farm land-owner	2
51	104	General	4	401	3	Farm land-owner	2
51	105	General	4	401	3	Dairy/cattle rearing	5
51	106	General	4	401	3	Private services	9
51	107	General	4	401	3	Pensioner	17
51	108	General	4	401	3	Farm labourer	3
51	109	OBC	3	408	3	Farm labourer	3
51	110	OBC	3	408	3	Pensioner	17
51	111	General	4	401	3	Dairy/cattle rearing	5
51	112	General	4	402	3	Farm land-owner	2
51	113	General	4	401	3	Farm land-owner	2
51	114	General	4	401	3	Farm land-owner	2
51	115	General	4	401	3	Farm land-owner	2
51	116	OBC	3	402	3	Farm labourer	3
51	117	OBC	3	401	3	Farm land-owner	2
51	118	OBC	3	401	3	Masonry/construction worker	12
51	119	OBC	3	401	3	Private services	9
51	120	OBC	3	401	3	Masonry/construction worker	12
51	121	General	4	401	3	Private services	9
51	122	General	4	401	3	Government services (teacher, etc.)	8
51	123	General	4	402	3	Housewife	16
51	124	General	4	401	3	Farm land-owner	2
51	125	SC	1	201	3	Private services	9
51	126	SC	1	201	3	Farm labourer	3
51	127	SC	1	201	3	Farm labourer	3
51	128	SC	1	201	4	Industrialist	11
51	129	SC	1	201	3	Farm labourer	3
51	130	SC	1	201	3	Masonry/construction worker	12
51	131	SC	1	201	3	Farm labourer	3
51	132	General	4	201	3	Farm labourer	3
51	133	General	4	201	3	Farm labourer	3
51	134	General	4	201	3	Farm labourer	3
51	135	SC	1	201	3	Farm labourer	3
51	136	SC	1	201	3	Masonry/construction worker	12
51	137	SC	1	201	3	Private services	9
51	138	SC	1	201	3	Private services	9
51	139	SC	1	201	3	Masonry/construction worker	12
51	140	SC	1	201	2	Farm labourer	3
51	141	SC	1	201	3	Farm labourer	3
51	142	SC	1	201	3	Farm labourer	3
51	143	SC	1	201	3	Farm labourer	3
51	144	SC	1	201	3	Farm labourer	3
51	145	SC	1	201	3	Farm labourer	3
51	146	SC	1	201	4	Industry/factory worker(brick making etc)	10
51	147	SC	1	201	3	Farm labourer	3
51	148	SC	1	201	1	Farm labourer	3
51	149	SC	1	201	3	Pensioner	17
51	150	SC	1	201	3	Farm labourer	3
51	151	SC	1	201	3	Farm labourer	3
51	152	General	4	401	3	Farm labourer	3
51	153	General	4	201	3	Farm labourer	3
51	154	SC	1	201	3	Domestic help/cook/casual	15
51	155	SC	1	201	3	Farm labourer	3
51	156	SC	1	201	5	Private services	9
51	157	SC	1	201	3	Masonry/construction worker	12
51	158	SC	1	201	3	Industrialist	11
51	159	SC	1	201	3	Farm labourer	3
51	160	SC	1	201	2	Farm labourer	3
51	161	General	4	414	2	Farm labourer	3
51	162	SC	1	201	3	Farm labourer	3
51	163	SC	1	201	3	Farm labourer	3
