villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
64	101	OBC	3	401	5	Farm land-owner	2
64	102	General	4	401	4	Farm land-owner	2
64	103	OBC	3	401	3	Farm land-owner	2
64	104	OBC	3	401	3	Farm land-owner	2
64	105	SC	1	201	3	Farm land-owner	2
64	106	OBC	3	308	3	Farm land-owner	2
64	107	SC	1	201	3	Farm labourer	3
64	108	General	4	401	3	Farm labourer	3
64	109	General	4	401	5	Farm land-owner	2
64	110	OBC	3	401	3	Pensioner	17
64	111	OBC	3	401	3	Farm land-owner	2
64	112	OBC	3	401	5	Farm land-owner	2
64	113	OBC	3	401	3	Farm labourer	3
64	114	General	4	401	5	Farm land-owner	2
64	115	General	4	401	5	Farm labourer	3
64	116	OBC	3	401	3	Farm labourer	3
64	117	OBC	3	401	5	Farm labourer	3
64	118	General	4	401	5	Farm land-owner	2
64	119	OBC	3	401	3	Farm labourer	3
64	120	OBC	3	401	5	Private services	9
64	121	OBC	3	401	3	Industrialist	11
64	122	OBC	3	401	3	Farm land-owner	2
64	123	OBC	3	401	4	Farm land-owner	2
64	124	OBC	3	401	3	Government services (teacher, etc.)	8
64	125	OBC	3	401	5	Farm land-owner	2
64	126	General	4	401	3	Farm land-owner	2
64	127	OBC	3	401	3	Farm land-owner	2
64	128	SC	1	201	3	Farm labourer	3
64	129	SC	1	201	4	Farm labourer	3
64	130	SC	1	201	4	Farm labourer	3
64	131	SC	1	201	3	Farm labourer	3
64	132	SC	1	201	3	Private services	9
64	133	SC	1	201	5	Private services	9
64	134	SC	1	201	3	Farm labourer	3
64	135	SC	1	201	5	Farm land-owner	2
64	136	SC	1	201	3	Farm labourer	3
64	137	SC	1	201	3	OTHERS, SPECIFY	-333
64	138	SC	1	201	2	Private services	9
64	139	SC	1	201	2	Pensioner	17
64	140	SC	1	201	3	Government services (teacher, etc.)	8
64	141	OBC	3	401	5	Farm labourer	3
64	142	General	4	401	3	Farm labourer	3
64	143	General	4	401	3	Farm labourer	3
64	144	OBC	3	401	3	Farm land-owner	2
64	145	OBC	3	401	3	Dairy/cattle rearing	5
64	146	OBC	3	401	5	Government services (teacher, etc.)	8
64	147	OBC	3	401	3	Farm labourer	3
64	148	OBC	3	401	3	Pensioner	17
64	149	OBC	3	401	1	Farm land-owner	2
64	150	OBC	3	401	3	Government services (teacher, etc.)	8
64	151	General	4	401	3	Farm labourer	3
64	152	General	4	401	5	Farm labourer	3
64	153	OBC	3	401	3	Farm labourer	3
64	154	General	4	401	3	Farm land-owner	2
64	155	OBC	3	401	3	Farm labourer	3
64	156	General	4	401	3	Farm land-owner	2
64	157	General	4	401	3	Farm land-owner	2
