villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
62	101	General	4	401	3	Farm land-owner	2
62	102	General	4	401	3	Farm land-owner	2
62	103	General	4	401	3	Farm land-owner	2
62	104	General	4	401	3	Farm land-owner	2
62	105	General	4	401	4	Farm land-owner	2
62	106	General	4	401	3	Farm land-owner	2
62	107	General	4	401	5	Dairy/cattle rearing	5
62	108	General	4	401	5	Farm land-owner	2
62	109	General	4	401	3	Farm land-owner	2
62	110	General	4	401	3	Farm land-owner	2
62	111	General	4	401	3	Farm land-owner	2
62	112	General	4	401	3	Farm labourer	3
62	113	General	4	401	3	Farm land-owner	2
62	114	General	4	401	3	Farm labourer	3
62	115	SC	1	206	3	Industrialist	11
62	116	SC	1	206	3	Farm labourer	3
62	117	General	4	401	3	Farm labourer	3
62	118	General	4	401	3	Farm labourer	3
62	119	General	4	401	3	Farm land-owner	2
62	120	General	4	401	5	Farm land-owner	2
62	121	General	4	401	3	Farm land-owner	2
62	122	General	4	401	3	Farm land-owner	2
62	123	General	4	401	3	Farm land-owner	2
62	124	General	4	401	3	Farm labourer	3
62	125	General	4	401	3	Farm labourer	3
62	126	General	4	401	3	Pensioner	17
62	127	General	4	401	3	Farm labourer	3
62	128	General	4	401	3	Farm labourer	3
62	129	General	4	401	3	Farm labourer	3
62	130	General	4	401	3	Farm labourer	3
62	131	General	4	401	3	Farm land-owner	2
62	132	General	4	401	3	Farm land-owner	2
62	133	General	4	401	3	Farm labourer	3
62	134	General	4	401	3	Farm labourer	3
62	135	General	4	401	3	Farm land-owner	2
62	137	General	4	401	3	Farm labourer	3
62	138	General	4	401	3	Farm labourer	3
62	139	General	4	401	3	Farm land-owner	2
62	140	General	4	401	3	Farm land-owner	2
62	141	General	4	401	3	Farm labourer	3
62	142	General	4	102	3	Industrialist	11
62	143	General	4	102	3	Industrialist	11
62	144	General	4	401	3	Farm land-owner	2
62	145	SC	1	201	3	Farm land-owner	2
62	146	SC	1	201	3	Farm labourer	3
62	147	General	4	401	3	Farm labourer	3
62	148	General	4	102	3	Domestic help/cook/casual	15
62	149	General	4	401	3	Private services	9
62	150	General	4	401	3	Farm labourer	3
62	151	General	4	401	3	Farm land-owner	2
62	152	General	4	401	3	Farm labourer	3
62	153	SC	1	407	3	Farm labourer	3
62	154	General	4	401	5	Government services (teacher, etc.)	8
62	155	General	4	-333	3	Masonry/construction worker	12
62	156	General	4	401	3	Farm labourer	3
62	157	General	4	401	5	Farm land-owner	2
62	158	General	4	401	5	Farm land-owner	2
62	159	General	4	401	3	Farm land-owner	2
62	160	OBC	3	211	3	Farm labourer	3
62	161	General	4	401	5	Industrialist	11
62	162	OBC	3	401	3	Pensioner	17
62	163	OBC	3	401	3	Farm land-owner	2
62	164	OBC	3	401	3	Farm land-owner	2
62	165	General	4	401	3	Farm land-owner	2
62	166	General	4	401	5	Farm land-owner	2
62	167	SC	1	201	4	Farm land-owner	2
62	168	OBC	3	411	5	Farm land-owner	2
62	169	ST	2	309	3	Farm land-owner	2
62	170	OBC	3	411	3	Pensioner	17
62	171	OBC	3	401	3	Farm land-owner	2
62	172	OBC	3	-333	3	Farm land-owner	2
62	173	ST	2	309	3	Farm labourer	3
62	174	OBC	3	411	5	Farm land-owner	2
62	175	ST	2	309	5	Farm land-owner	2
62	177	OTHERS, SPECIFY	-333	-333	3	Industrialist	11
62	179	General	4	401	3	Farm labourer	3
62	180	General	4	205	3	Industrialist	11
62	181	General	4	205	3	Industrialist	11
62	182	OBC	3	401	3	Farm land-owner	2
62	183	OBC	3	401	3	Farm land-owner	2
62	184	OTHERS, SPECIFY	-333	-333	3	Farm labourer	3
62	185	General	4	401	3	Farm land-owner	2
62	186	General	4	401	3	Industrialist	11
62	187	General	4	401	3	Farm land-owner	2
62	188	General	4	401	3	Farm land-owner	2
62	189	General	4	401	3	Farm land-owner	2
62	190	General	4	401	5	Farm land-owner	2
62	191	General	4	401	3	Farm land-owner	2
62	192	General	4	201	3	Farm labourer	3
62	193	General	4	401	3	Farm land-owner	2
62	194	SC	1	206	3	Farm labourer	3
62	195	General	4	401	3	Farm land-owner	2
62	196	General	4	401	3	Farm land-owner	2
62	197	General	4	401	3	Farm land-owner	2
62	198	OBC	3	401	3	Farm land-owner	2
62	199	General	4	401	3	Farm labourer	3
62	200	General	4	401	3	Farm labourer	3
