villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
21	101	OBC	3	401	3	Farm land-owner	2
21	102	General	4	401	3	Farm land-owner	2
21	103	General	4	401	3	Farm land-owner	2
21	104	OBC	3	401	3	Farm land-owner	2
21	105	SC	1	201	3	Government services (teacher, etc.)	8
21	106	SC	1	201	3	Government services (teacher, etc.)	8
21	107	SC	1	202	3	Government services (teacher, etc.)	8
21	108	ST	2	309	4	Farm labourer	3
21	109	General	4	309	3	Farm land-owner	2
21	110	SC	1	201	3	Farm labourer	3
21	111	ST	2	309	3	OTHERS, SPECIFY	-333
21	112	ST	2	309	3	Farm labourer	3
21	113	SC	1	309	3	Farm labourer	3
21	114	ST	2	309	3	Farm labourer	3
21	115	SC	1	309	3	Masonry/construction worker	12
21	116	SC	1	201	3	Farm labourer	3
21	117	SC	1	309	3	Masonry/construction worker	12
21	118	SC	1	309	3	Masonry/construction worker	12
21	119	SC	1	309	3	Masonry/construction worker	12
21	120	ST	2	309	3	Masonry/construction worker	12
21	121	ST	2	309	3	Farm labourer	3
21	122	ST	2	309	3	Farm labourer	3
21	123	ST	2	309	3	Masonry/construction worker	12
21	124	OBC	3	401	3	Farm land-owner	2
21	125	ST	2	309	3	Farm labourer	3
21	126	ST	2	309	3	Masonry/construction worker	12
21	127	ST	2	309	3	Farm labourer	3
21	128	ST	2	309	3	Farm labourer	3
21	129	ST	2	309	3	Farm labourer	3
21	130	ST	2	309	3	Masonry/construction worker	12
21	131	ST	2	309	5	Farm land-owner	2
21	132	ST	2	309	3	Private services	9
21	133	OBC	3	408	3	Dairy/cattle rearing	5
21	134	ST	2	309	3	Farm labourer	3
21	135	ST	2	309	3	Farm labourer	3
21	136	ST	2	309	3	Farm land-owner	2
21	137	OBC	3	401	3	Farm land-owner	2
21	138	OBC	3	401	3	Farm land-owner	2
21	139	OBC	3	401	3	Farm land-owner	2
21	140	OBC	3	401	3	Farm land-owner	2
21	141	SC	1	309	3	Masonry/construction worker	12
21	142	General	4	401	3	Farm land-owner	2
21	143	General	4	401	3	Farm land-owner	2
21	144	General	4	401	3	Farm land-owner	2
21	145	General	4	401	3	Farm land-owner	2
21	146	OBC	3	401	3	Farm land-owner	2
21	147	OBC	3	401	3	Farm land-owner	2
21	148	General	4	401	3	Farm land-owner	2
21	149	General	4	401	3	Farm land-owner	2
21	150	General	4	401	3	Farm land-owner	2
21	151	General	4	401	3	Farm land-owner	2
21	152	General	4	401	3	Farm labourer	3
21	153	OBC	3	401	3	Farm land-owner	2
21	154	OBC	3	401	3	Farm land-owner	2
21	155	General	4	401	3	Industry/factory worker(brick making etc)	10
21	156	ST	2	309	3	Farm labourer	3
21	157	OBC	3	401	3	Domestic help/cook/casual	15
21	158	General	4	401	3	Farm labourer	3
21	159	General	4	401	3	Farm labourer	3
21	160	OBC	3	408	3	Farm labourer	3
21	161	General	4	408	3	Farm land-owner	2
21	162	ST	2	309	3	Farm land-owner	2
21	163	General	4	408	3	Masonry/construction worker	12
21	164	General	4	402	3	Masonry/construction worker	12
21	165	General	4	402	3	Farm labourer	3
21	166	ST	2	309	3	Farm labourer	3
21	167	ST	2	309	4	Farm labourer	3
21	168	General	4	408	3	Masonry/construction worker	12
21	169	General	4	408	3	Masonry/construction worker	12
21	170	ST	2	309	3	Farm labourer	3
21	171	ST	2	309	3	Farm labourer	3
21	172	ST	2	309	3	Industrialist	11
21	173	SC	1	201	3	Domestic help/cook/casual	15
21	174	ST	2	309	3	Farm labourer	3
21	175	SC	1	206	3	Masonry/construction worker	12
21	176	ST	2	309	3	Farm land-owner	2
21	177	General	4	401	3	Farm labourer	3
21	178	General	4	401	3	Dairy/cattle rearing	5
21	179	ST	2	309	3	Farm labourer	3
21	180	General	4	401	3	Farm land-owner	2
21	181	General	4	401	3	Farm land-owner	2
21	182	General	4	401	3	Sericulture owner	6
21	183	ST	2	309	3	Farm labourer	3
21	184	ST	2	309	3	Farm labourer	3
