villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
12	101	SC	1	206	3	Farm labourer	3
12	102	OBC	3	404	3	Farm labourer	3
12	103	OBC	3	206	3	Farm land-owner	2
12	104	SC	1	206	3	Farm labourer	3
12	105	SC	1	206	3	Farm labourer	3
12	106	General	4	401	3	Farm labourer	3
12	107	General	4	401	3	Farm labourer	3
12	108	OBC	3	401	3	Farm labourer	3
12	109	OBC	3	401	5	Sericulture owner	6
12	110	OBC	3	404	3	Farm labourer	3
12	111	OBC	3	404	3	Farm labourer	3
12	112	SC	1	309	3	Farm labourer	3
12	113	OBC	3	404	3	Farm labourer	3
12	114	General	4	404	4	Government services (teacher, etc.)	8
12	115	OBC	3	404	3	Farm land-owner	2
12	116	OBC	3	404	3	Farm labourer	3
12	117	SC	1	201	3	Farm labourer	3
12	118	OBC	3	404	3	Farm labourer	3
12	119	OBC	3	404	3	Farm labourer	3
12	120	OBC	3	404	3	Farm labourer	3
12	121	OBC	3	404	3	Farm labourer	3
12	122	General	4	404	4	Farm labourer	3
12	123	OBC	3	404	3	Farm land-owner	2
12	124	OBC	3	404	3	Farm land-owner	2
12	125	OBC	3	401	3	Sericulture owner	6
12	126	OBC	3	401	3	Farm land-owner	2
12	127	OBC	3	401	3	Sericulture owner	6
12	128	General	4	401	3	Farm labourer	3
12	129	General	4	401	3	Farm labourer	3
12	130	OBC	3	303	3	Farm land-owner	2
12	131	OBC	3	401	3	Sericulture owner	6
12	132	General	4	401	3	Farm labourer	3
12	133	OBC	3	401	3	Farm land-owner	2
12	134	OBC	3	401	3	Sericulture labourer	7
12	135	OBC	3	401	3	Sericulture owner	6
12	136	OBC	3	401	3	Sericulture owner	6
12	137	General	4	401	3	Farm labourer	3
12	138	General	4	401	3	Sericulture labourer	7
12	139	SC	1	201	3	Sericulture labourer	7
12	140	SC	1	201	3	Sericulture owner	6
12	141	OBC	3	401	3	Farm land-owner	2
12	142	OBC	3	401	3	Farm land-owner	2
12	143	General	4	401	3	Farm labourer	3
12	144	General	4	401	3	Farm land-owner	2
12	145	General	4	401	3	Farm labourer	3
12	146	OBC	3	401	3	Dairy/cattle rearing	5
12	147	OBC	3	401	3	Farm land-owner	2
12	148	OBC	3	404	4	Farm land-owner	2
12	149	OBC	3	404	3	Farm labourer	3
12	150	OBC	3	404	3	Farm land-owner	2
