villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
35	101	General	4	401	3	Private services	9
35	102	General	4	401	3	Farm labourer	3
35	103	SC	1	201	3	Farm labourer	3
35	104	General	4	401	3	Farm land-owner	2
35	105	General	4	401	3	Private services	9
35	106	OBC	3	401	3	Private services	9
35	107	OBC	3	401	3	Private services	9
35	108	OBC	3	401	3	Dairy/cattle rearing	5
35	109	OBC	3	-333	3	Farm labourer	3
35	110	SC	1	201	4	Private services	9
35	111	OBC	3	401	3	Farm land-owner	2
35	112	OBC	3	404	3	Private services	9
35	113	OBC	3	401	3	Government services (teacher, etc.)	8
35	114	OBC	3	401	3	Private services	9
35	115	SC	1	201	3	Farm labourer	3
35	116	SC	1	201	3	Farm labourer	3
35	117	SC	1	201	3	Farm labourer	3
35	118	SC	1	201	1	Farm land-owner	2
35	119	OBC	3	201	1	Farm land-owner	2
35	120	SC	1	201	1	Farm labourer	3
35	121	SC	1	201	3	Farm labourer	3
35	122	SC	1	201	3	Industrialist	11
35	123	SC	1	201	3	Farm labourer	3
35	124	General	4	403	3	Private services	9
35	125	General	4	401	3	Farm labourer	3
35	126	OBC	3	401	3	Farming(tenancy)	4
35	127	OBC	3	401	3	Farm land-owner	2
35	128	OBC	3	401	3	Farm land-owner	2
35	129	General	4	404	3	Dairy/cattle rearing	5
35	130	OBC	3	401	3	Farm land-owner	2
35	131	General	4	401	3	Housewife	16
35	132	General	4	401	3	Industrialist	11
35	133	General	4	401	3	Farm land-owner	2
35	134	General	4	401	3	Pensioner	17
35	135	General	4	401	3	Farm land-owner	2
35	136	General	4	401	3	Farm labourer	3
35	137	General	4	401	3	Farm labourer	3
35	138	General	4	102	3	Private services	9
35	139	OBC	3	401	3	Farm land-owner	2
35	140	OBC	3	401	3	Domestic help/cook/casual	15
35	141	OBC	3	-333	3	OTHERS, SPECIFY	-333
35	142	General	4	401	3	Farm land-owner	2
35	143	General	4	411	3	Industrialist	11
35	144	OBC	3	411	3	Government services (teacher, etc.)	8
35	145	General	4	411	3	Housewife	16
35	146	General	4	404	3	Dairy/cattle rearing	5
35	147	General	4	404	3	Dairy/cattle rearing	5
35	148	OBC	3	404	3	Private services	9
35	149	OBC	3	404	1	Farm land-owner	2
