villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
11	101	OBC	3	-333	3	Farm land-owner	2
11	102	OBC	3	-333	3	Farm labourer	3
11	103	ST	2	402	3	Pensioner	17
11	104	General	4	-333	3	Farm labourer	3
11	105	General	4	-333	3	Farm labourer	3
11	106	OBC	3	-333	3	Farm labourer	3
11	107	General	4	-333	3	Farm labourer	3
11	108	General	4	-333	3	Farm labourer	3
11	109	General	4	401	3	Farm labourer	3
11	110	ST	2	402	4	Farm labourer	3
11	111	OBC	3	-333	3	Farm labourer	3
11	112	OBC	3	408	3	Farm labourer	3
11	113	OBC	3	408	3	Farm labourer	3
11	114	OBC	3	408	3	Farm labourer	3
11	115	OBC	3	402	3	Farm labourer	3
11	116	General	4	-333	3	Farm labourer	3
11	117	General	4	402	3	Farm labourer	3
11	118	General	4	402	3	Farm labourer	3
11	119	ST	2	408	3	Dairy/cattle rearing	5
11	120	ST	2	408	3	Farm labourer	3
11	121	OBC	3	408	3	Farm labourer	3
11	122	OBC	3	408	3	Farm labourer	3
11	123	OBC	3	402	3	Farm land-owner	2
11	124	General	4	401	5	Industrialist	11
11	125	OBC	3	402	3	Farm land-owner	2
11	126	OBC	3	408	3	Farm labourer	3
11	127	OBC	3	402	3	Farm labourer	3
11	128	General	4	402	3	Farm land-owner	2
11	129	General	4	401	3	Farm labourer	3
11	130	General	4	401	3	Farm labourer	3
11	131	Religious Minority	5	501	3	Industrialist	11
11	132	OBC	3	402	3	Farm land-owner	2
11	133	OBC	3	402	5	Farm labourer	3
11	134	OBC	3	402	3	Farm land-owner	2
11	135	OBC	3	402	3	Farm labourer	3
11	136	Religious Minority	5	413	3	Farm labourer	3
11	137	Religious Minority	5	413	3	Farm labourer	3
11	138	Religious Minority	5	413	3	Pensioner	17
11	139	Religious Minority	5	413	3	Pensioner	17
11	140	OBC	3	402	3	Farm labourer	3
11	141	OBC	3	402	3	Government services (teacher, etc.)	8
11	142	OBC	3	402	3	Farm land-owner	2
11	143	OBC	3	402	3	Government services (teacher, etc.)	8
11	144	Religious Minority	5	501	3	Farm labourer	3
11	145	Religious Minority	5	501	3	Industrialist	11
11	146	Religious Minority	5	501	3	Industrialist	11
11	147	General	4	402	5	Industrialist	11
11	148	General	4	402	3	Farm land-owner	2
11	149	General	4	402	3	Farm labourer	3
11	150	General	4	402	3	Farm labourer	3
11	151	General	4	402	3	Farm land-owner	2
11	152	General	4	402	3	Farm labourer	3
11	153	OBC	3	402	3	Farm land-owner	2
11	154	OBC	3	402	3	Farm labourer	3
11	155	OBC	3	402	3	Farm land-owner	2
11	156	OBC	3	402	3	Industrialist	11
11	157	OBC	3	402	3	Farm labourer	3
11	158	OBC	3	402	3	Farm land-owner	2
11	159	OBC	3	402	3	Farm labourer	3
11	160	OBC	3	402	3	Industrialist	11
11	161	OBC	3	402	3	Farm labourer	3
11	162	OBC	3	402	3	Farm labourer	3
11	163	OBC	3	402	3	Farm labourer	3
