villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
60	101	General	4	401	1	Farm labourer	3
60	102	General	4	401	1	Farm labourer	3
60	103	OBC	3	404	3	Farm labourer	3
60	104	OBC	3	401	5	Farm land-owner	2
60	105	OBC	3	404	4	Farm land-owner	2
60	106	OBC	3	401	4	Farm land-owner	2
60	107	ST	2	405	1	Farm land-owner	2
60	108	ST	2	405	1	Farm land-owner	2
60	109	General	4	401	5	Farm land-owner	2
60	110	ST	2	309	3	Farm labourer	3
60	111	ST	2	309	4	Farm labourer	3
60	112	ST	2	309	1	Farm land-owner	2
60	113	OBC	3	-333	3	Farm land-owner	2
60	114	OBC	3	407	1	Farm labourer	3
60	115	Religious Minority	5	404	2	Farm land-owner	2
60	116	OBC	3	-333	2	Industrialist	11
60	117	Religious Minority	5	404	3	Farm land-owner	2
60	118	OBC	3	404	3	Farm land-owner	2
60	119	OBC	3	404	3	Farm labourer	3
60	120	OBC	3	404	3	Farm land-owner	2
60	121	OBC	3	404	3	Farm land-owner	2
60	122	OBC	3	404	2	Farm labourer	3
60	123	OBC	3	309	3	Farm labourer	3
60	124	OBC	3	404	3	Industry/factory worker(brick making etc)	10
60	125	OBC	3	404	3	Pensioner	17
60	126	OBC	3	404	2	Farm labourer	3
60	127	OBC	3	404	2	Farm labourer	3
60	128	OBC	3	404	2	Masonry/construction worker	12
60	129	Religious Minority	5	404	2	Farm land-owner	2
60	130	Religious Minority	5	404	2	Farm land-owner	2
60	131	OBC	3	404	2	Farm labourer	3
60	132	Religious Minority	5	404	2	Farm labourer	3
60	133	General	4	401	3	Farm land-owner	2
60	134	General	4	401	2	Farm land-owner	2
60	135	General	4	401	2	Farm labourer	3
60	136	General	4	401	2	Farm land-owner	2
60	137	General	4	401	3	Farm land-owner	2
60	138	General	4	401	5	Farm land-owner	2
60	139	General	4	401	3	Farm land-owner	2
60	140	OBC	3	404	3	Farm land-owner	2
60	141	OBC	3	404	3	Farm labourer	3
60	142	OBC	3	404	1	Pensioner	17
60	143	General	4	401	3	Pensioner	17
60	144	Religious Minority	5	404	2	Farm labourer	3
60	145	General	4	401	3	Farm labourer	3
60	146	Religious Minority	5	404	3	Farm labourer	3
60	147	General	4	401	2	Farm labourer	3
60	148	General	4	-333	3	Farm land-owner	2
60	149	OBC	3	402	1	Domestic help/cook/casual	15
60	150	General	4	401	1	Farm labourer	3
60	151	OBC	3	-333	5	Farm labourer	3
60	152	OBC	3	403	3	Farm land-owner	2
60	153	OBC	3	403	3	Farm land-owner	2
60	154	OBC	3	403	2	Farm labourer	3
60	155	OBC	3	401	2	Farm labourer	3
60	156	General	4	401	3	Farm land-owner	2
60	157	OBC	3	401	3	Pensioner	17
60	158	OBC	3	401	4	Farm labourer	3
