villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
65	101	SC	1	201	3	Farm labourer	3
65	102	SC	1	201	1	Farm labourer	3
65	103	SC	1	201	3	Farm labourer	3
65	104	ST	2	202	3	Farm labourer	3
65	105	SC	1	201	3	Pensioner	17
65	106	SC	1	202	3	OTHERS, SPECIFY	-333
65	107	SC	1	201	3	Farm land-owner	2
65	108	ST	2	202	3	Farm land-owner	2
65	109	SC	1	201	2	Farm labourer	3
65	110	SC	1	201	1	Farm labourer	3
65	111	SC	1	201	3	Farm land-owner	2
65	112	SC	1	201	1	Farm labourer	3
65	113	SC	1	201	1	Farm labourer	3
65	114	ST	2	202	3	Farm land-owner	2
65	115	ST	2	202	2	Farm labourer	3
65	116	General	4	401	3	Farm land-owner	2
65	117	SC	1	401	3	Dairy/cattle rearing	5
65	118	General	4	401	3	Farm land-owner	2
65	119	General	4	401	3	Farm land-owner	2
65	120	OBC	3	401	3	Farm land-owner	2
65	121	OBC	3	401	3	Farm land-owner	2
65	122	OBC	3	402	3	Masonry/construction worker	12
65	123	General	4	401	3	Farm labourer	3
65	124	ST	2	202	3	Farm labourer	3
65	125	ST	2	402	3	Farm labourer	3
65	126	General	4	402	3	Masonry/construction worker	12
65	127	OBC	3	402	3	Pensioner	17
65	128	SC	1	201	3	Farm labourer	3
65	129	SC	1	201	1	Pensioner	17
65	130	ST	2	202	3	Farm land-owner	2
65	131	ST	2	411	5	Government services (teacher, etc.)	8
65	132	SC	1	201	3	Farm land-owner	2
65	133	SC	1	402	3	Farm labourer	3
65	134	OBC	3	402	3	Farm land-owner	2
65	135	ST	2	202	3	Farm land-owner	2
65	136	ST	2	202	1	Farm labourer	3
65	137	SC	1	201	3	Farm labourer	3
65	138	General	4	401	3	Farm land-owner	2
65	139	OBC	3	401	3	Farm land-owner	2
65	140	General	4	401	3	Farm land-owner	2
65	141	General	4	401	3	Farm land-owner	2
65	142	General	4	401	3	Farm land-owner	2
65	143	OBC	3	401	3	Dairy/cattle rearing	5
65	144	OBC	3	402	3	Government services (teacher, etc.)	8
65	145	General	4	401	3	Farm land-owner	2
65	146	General	4	401	5	Farm labourer	3
65	147	General	4	401	5	Farm labourer	3
65	148	General	4	401	3	Farm land-owner	2
65	149	OBC	3	401	3	Farm land-owner	2
65	150	OBC	3	401	3	Farm land-owner	2
65	151	General	4	401	3	Farm land-owner	2
65	152	General	4	401	3	Farm labourer	3
65	153	General	4	401	3	Farm land-owner	2
65	154	General	4	401	3	Government services (teacher, etc.)	8
