villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
61	101	SC	1	201	3	Farm labourer	3
61	102	SC	1	201	1	Farm labourer	3
61	103	SC	1	201	3	Farm labourer	3
61	104	SC	1	201	3	Farm labourer	3
61	105	SC	1	201	4	Farm labourer	3
61	106	SC	1	201	3	Farm labourer	3
61	107	SC	1	201	3	OTHERS, SPECIFY	-333
61	108	SC	1	201	4	Farm labourer	3
61	109	SC	1	202	3	Government services (teacher, etc.)	8
61	110	General	4	-333	3	Farm land-owner	2
61	111	OBC	3	401	3	Sericulture owner	6
61	112	OBC	3	402	3	Farm land-owner	2
61	113	OBC	3	402	3	Farm land-owner	2
61	114	OBC	3	402	3	Farm labourer	3
61	115	OBC	3	402	2	Pensioner	17
61	116	OBC	3	401	3	Farm land-owner	2
61	117	General	4	401	3	Farm labourer	3
61	118	OBC	3	401	5	Farm land-owner	2
61	119	OBC	3	402	3	Pensioner	17
61	120	OBC	3	402	3	Small business (shop, etc.)	1
61	121	OBC	3	402	3	Farm land-owner	2
61	122	OBC	3	402	3	Farm land-owner	2
61	123	OBC	3	401	3	Farm land-owner	2
61	124	OBC	3	401	3	Farming(tenancy)	4
61	125	OBC	3	402	3	Government services (teacher, etc.)	8
61	126	OBC	3	-333	3	Farm land-owner	2
61	128	ST	2	-333	3	Pensioner	17
61	129	OBC	3	402	3	Farm labourer	3
61	130	OBC	3	-333	3	Private services	9
61	131	OBC	3	-333	3	Private services	9
61	132	OBC	3	-333	3	Private services	9
61	133	General	4	401	3	Farm labourer	3
61	134	OBC	3	-333	3	Pensioner	17
61	135	General	4	401	3	Pensioner	17
61	136	SC	1	402	3	Farm labourer	3
61	137	SC	1	305	3	Masonry/construction worker	12
61	138	SC	1	406	3	Farm labourer	3
61	139	SC	1	406	3	Farm labourer	3
61	140	SC	1	-333	3	Farm labourer	3
61	141	ST	2	402	3	Farm labourer	3
61	142	General	4	102	3	Industrialist	11
61	143	OBC	3	402	1	Private services	9
61	144	OBC	3	402	3	Private services	9
61	145	OBC	3	411	3	Industrialist	11
61	146	General	4	102	5	Industrialist	11
61	147	SC	1	201	3	OTHERS, SPECIFY	-333
61	148	SC	1	201	3	Farm labourer	3
61	149	SC	1	201	3	OTHERS, SPECIFY	-333
61	150	SC	1	201	3	Farm labourer	3
61	151	SC	1	201	3	Farm labourer	3
61	153	SC	1	201	3	Government services (teacher, etc.)	8
61	154	SC	1	201	3	Small business (shop, etc.)	1
61	156	SC	1	202	3	Farm labourer	3
61	157	OBC	3	402	3	OTHERS, SPECIFY	-333
61	158	Religious Minority	5	413	3	Small business (shop, etc.)	1
61	159	OBC	3	401	3	Farm land-owner	2
61	160	SC	1	201	3	Farm labourer	3
61	161	SC	1	202	3	Farm labourer	3
61	162	SC	1	201	3	Farm labourer	3
61	163	SC	1	201	3	Farm labourer	3
61	164	SC	1	201	3	Farm labourer	3
61	165	SC	1	201	3	Government services (teacher, etc.)	8
61	166	SC	1	201	3	Farm labourer	3
61	167	SC	1	201	3	OTHERS, SPECIFY	-333
61	168	OBC	3	401	3	Farm land-owner	2
61	169	General	4	102	3	OTHERS, SPECIFY	-333
61	170	OBC	3	413	3	Industrialist	11
61	171	Religious Minority	5	413	3	Farm labourer	3
61	173	Religious Minority	5	413	3	Farm labourer	3
61	174	General	4	402	3	Farm labourer	3
61	175	General	4	402	3	Farm labourer	3
61	176	General	4	402	3	Pensioner	17
61	177	Religious Minority	5	413	3	Farm labourer	3
61	178	Religious Minority	5	413	4	Farm labourer	3
61	179	OBC	3	402	3	Domestic help/cook/casual	15
61	180	Religious Minority	5	413	3	Farm labourer	3
61	181	General	4	402	3	Farm labourer	3
61	182	General	4	402	3	Farm labourer	3
61	183	SC	1	402	3	Farm labourer	3
61	186	OBC	3	402	3	Farming(tenancy)	4
61	188	ST	2	309	3	Masonry/construction worker	12
61	189	OBC	3	309	3	Industrialist	11
61	190	General	4	402	3	Farm land-owner	2
61	191	Religious Minority	5	413	3	Farm labourer	3
61	192	ST	2	402	3	Farm labourer	3
61	193	OBC	3	402	3	Farm labourer	3
61	194	OBC	3	402	3	Farm labourer	3
61	195	OBC	3	401	3	Farm labourer	3
61	196	OBC	3	401	3	Farm labourer	3
61	197	SC	1	201	3	Government services (teacher, etc.)	8
61	198	SC	1	201	3	Government services (teacher, etc.)	8
61	199	General	4	402	3	Farm labourer	3
61	200	OBC	3	401	3	Domestic help/cook/casual	15
61	201	OBC	3	401	3	Industry/factory worker(brick making etc)	10
61	202	ST	2	309	3	Farm labourer	3
61	203	SC	1	201	3	Farm labourer	3
61	204	OBC	3	413	3	Farming(tenancy)	4
61	205	Religious Minority	5	413	3	Farm labourer	3
61	206	OBC	3	401	3	Farm land-owner	2
61	207	Religious Minority	5	413	3	Farm labourer	3
61	208	General	4	401	3	Farm land-owner	2
61	209	ST	2	309	3	Farm labourer	3
61	210	ST	2	309	3	Farm labourer	3
61	211	ST	2	309	3	Industrialist	11
61	212	Religious Minority	5	413	3	Masonry/construction worker	12
61	213	OBC	3	401	3	Farm land-owner	2
61	214	General	4	401	3	Farm land-owner	2
61	215	General	4	401	3	Government services (teacher, etc.)	8
61	216	General	4	401	3	Pensioner	17
61	217	OBC	3	103	3	Industrialist	11
61	218	SC	1	402	3	Farm land-owner	2
61	219	OBC	3	401	3	Farm labourer	3
61	220	ST	2	309	3	Farm labourer	3
61	221	General	4	402	3	Farm labourer	3
61	222	OBC	3	401	3	Farm labourer	3
61	223	OBC	3	401	3	Small business (shop, etc.)	1
61	224	OBC	3	401	3	Farm land-owner	2
61	225	General	4	401	3	Farm land-owner	2
61	226	OBC	3	401	3	Farm labourer	3
61	227	OBC	3	401	3	Farm land-owner	2
61	228	General	4	401	3	Private services	9
61	229	OBC	3	401	5	Government services (teacher, etc.)	8
61	230	OBC	3	401	3	Farm land-owner	2
61	231	SC	1	201	4	Industrialist	11
61	232	General	4	401	3	Farm labourer	3
61	233	General	4	401	3	Farm labourer	3
61	234	OBC	3	401	3	Government services (teacher, etc.)	8
61	235	SC	1	201	3	Farm labourer	3
61	236	OBC	3	410	3	Farm labourer	3
61	237	OBC	3	402	3	Farm land-owner	2
61	238	OBC	3	401	3	Government services (teacher, etc.)	8
61	239	OBC	3	406	3	Farm labourer	3
61	240	OBC	3	407	3	Industrialist	11
61	241	OBC	3	401	3	Private services	9
61	242	General	4	401	3	Farm land-owner	2
61	243	General	4	401	3	Farming(tenancy)	4
61	244	General	4	401	3	Farm land-owner	2
61	245	General	4	401	5	Industrialist	11
61	246	General	4	401	5	Industrialist	11
61	247	General	4	401	3	Farm land-owner	2
61	248	OBC	3	401	3	Farm land-owner	2
