villageid	hh_id	caste_category_label	caste_category	subcaste	roof_type	occupation_label	occupation
4	101	General	4	401	3	Farm land-owner	2
4	102	General	4	401	3	Farm land-owner	2
4	103	General	4	401	3	Farm land-owner	2
4	104	General	4	401	3	Farm labourer	3
4	105	SC	1	202	2	Masonry/construction worker	12
4	106	SC	1	202	2	Government services (teacher, etc.)	8
4	107	SC	1	202	3	Masonry/construction worker	12
4	108	SC	1	202	3	Masonry/construction worker	12
4	109	SC	1	202	3	Farm labourer	3
4	110	SC	1	202	4	Farm labourer	3
4	111	SC	1	202	4	Farm labourer	3
4	112	SC	1	202	4	Farm labourer	3
4	113	SC	1	207	2	Farm labourer	3
4	114	General	4	401	3	Farm labourer	3
4	115	General	4	402	4	Pensioner	17
4	116	General	4	401	3	Farm land-owner	2
4	117	General	4	413	5	Farm labourer	3
4	118	General	4	413	1	Industrialist	11
4	119	General	4	401	5	Masonry/construction worker	12
4	120	SC	1	202	3	Farm land-owner	2
4	121	SC	1	202	2	Farm labourer	3
4	122	General	4	401	2	Domestic help/cook/casual	15
4	123	General	4	401	2	Farm labourer	3
4	124	General	4	401	2	Farm labourer	3
4	125	General	4	401	3	Farm labourer	3
4	126	General	4	401	3	Farm labourer	3
4	127	General	4	401	3	Farm land-owner	2
4	128	General	4	401	2	Farm labourer	3
4	129	General	4	401	3	Farm labourer	3
4	130	General	4	401	4	Farm labourer	3
4	131	General	4	401	2	Farm labourer	3
4	132	OBC	3	401	2	Farm labourer	3
4	133	General	4	401	2	Farm labourer	3
4	134	General	4	401	4	Farm labourer	3
4	135	ST	2	402	4	Private services	9
4	136	ST	2	402	4	Farm labourer	3
4	137	General	4	401	5	Government services (teacher, etc.)	8
4	138	General	4	401	4	Farm labourer	3
4	139	General	4	401	5	Dairy/cattle rearing	5
4	140	General	4	102	4	Pensioner	17
4	141	General	4	401	5	Farm labourer	3
4	142	Religious Minority	5	413	3	Farm labourer	3
4	143	General	4	101	3	Farm land-owner	2
4	144	Missing	-666	-666	-666	Missing	-666
4	145	General	4	102	4	OTHERS, SPECIFY	-333
4	146	General	4	102	4	Industrialist	11
